car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh),redundant_price_column,car_age,mileage_category
TOYOTA,HARRIER HYBRID,1070.9158679836312,2500.0,automatic transmission,Hybrid,RHD,4WD,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2024.0,7792547.183595315,7380410.0,1.0,0.0
MERCEDES,CLS CLASS,88286.64888502067,2999.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,7433076.809971709,7402865.0,6.0,1.0
GENESIS,G80,86685.92071202923,3470.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,5418458.935538651,5423816.0,6.0,1.0
TOYOTA,PRIUS S,66410.92663207921,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018.0,2455157.306870658,2645484.0,7.0,1.0
TOYOTA,FORTUNER 2.8 TRD SPORTIVO 4WD,86896.41291275767,2800.0,automatic transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2018.0,4424731.036815577,4883891.0,7.0,1.0
BMW,5 SERIES,23923.636189105797,1998.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,5847482.483481757,6382484.0,5.0,0.0
KIA,K9,57765.58323058609,3778.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,5107631.496456179,4820978.0,6.0,1.0
TOYOTA,RAV4,38766.83395974823,2500.0,automatic transmission,Hybrid,RHD,4WD,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2019.0,4940845.453835379,5194238.0,6.0,0.0
KIA,K8,36927.37320072441,1598.0,automatic transmission,Hybrid,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,5800621.073582341,5341061.0,4.0,0.0
BMW,X5,43718.66476330266,2993.0,automatic transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021.0,10791101.5305667,10902121.0,4.0,0.0
